 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.00000E+00      -0.35431E-09       0.00000E+00       0.00000E+00       0.00000E+00       0.00000E+00
      0      1       0.36880E+00      -0.17299E-05       0.36463E+00       0.90056E-02      -0.54803E+00       0.36795E+01
      0      1      -0.41981E+01      -0.12263E-05      -0.49758E-01       0.35528E+01      -0.84342E+00       0.24029E+01
      0      1      -0.61599E+01      -0.27266E-05      -0.14469E-01       0.30649E+01      -0.45210E+00       0.31830E+01
      0      1      -0.57163E+01      -0.22638E-06      -0.56952E+00       0.31859E+01       0.89529E-01      -0.24771E+01
      0      1      -0.46677E+01      -0.39454E-05       0.48329E-01      -0.23644E-01       0.54071E-01      -0.54021E+00
      0      1       0.49648E+01       0.17432E-05       0.28044E+00       0.46438E+01      -0.33242E+00       0.45103E+01
      0      1       0.42169E+01      -0.39718E-05       0.12271E+00      -0.31053E+00      -0.60502E+00      -0.18406E+01
      0      1       0.10368E+02      -0.46319E-05       0.42017E+00      -0.35477E+01       0.24295E+00       0.12430E+01
      0      1       0.91997E+01      -0.24199E-05       0.15883E+00      -0.16265E+01       0.16871E-01      -0.22657E+01
      0      1      -0.86245E+01      -0.35001E-05       0.35436E+00       0.62825E+01      -0.58913E+00       0.47182E+01
      0      1      -0.10440E+02      -0.11122E-05      -0.67442E+00       0.80915E+00      -0.95897E+00       0.53176E+01
      0      1      -0.44356E+01      -0.45775E-06       0.28249E+00      -0.40021E+01      -0.37535E-01      -0.18404E+01
      0      1       0.79506E-01       0.42535E-05      -0.90685E+00       0.48349E+01      -0.96245E-02      -0.71261E+00
      0      1      -0.10048E+01      -0.71735E-06       0.35688E-01      -0.46100E+01       0.51913E+00      -0.10079E+01
      0      1      -0.10865E+01       0.37389E-05      -0.90927E-02      -0.64615E+01      -0.18656E+00      -0.82209E+00
      0      1      -0.77604E+01       0.32985E-05       0.12524E+00      -0.37216E+01      -0.14833E+00       0.71105E-01
      0      1      -0.19800E+00       0.10863E-05      -0.24006E-01      -0.17747E+00       0.70404E-03      -0.16840E+01
      0      1      -0.77299E+00       0.37945E-05      -0.85685E-01       0.77088E-01       0.28951E+00      -0.68919E+00
      0      1      -0.54143E+01       0.30761E-05       0.15726E+00       0.36704E+00      -0.98908E-01      -0.51739E+00
      0      1       0.42781E+01       0.48055E-05       0.42700E+00      -0.48594E+01       0.62993E+00      -0.37048E+01
      0      1      -0.81446E+01       0.36818E-05       0.20404E+00      -0.60428E+00      -0.49692E+00       0.29496E+01
      0      1      -0.10941E+02      -0.13806E-05      -0.32665E+00      -0.82861E+01      -0.31720E+00       0.20120E+01
      0      1       0.35331E+01       0.44374E-05       0.16547E+00       0.11571E+01      -0.39093E+00       0.24733E+01
      0      1      -0.11478E+02      -0.49131E-05       0.17060E+00      -0.33552E+01       0.31316E+00      -0.74675E+01
      0      1       0.96246E+01       0.26119E-05       0.21646E+00      -0.23597E+01      -0.10910E-01      -0.35574E+01
      0      1      -0.97126E+01      -0.45484E-05       0.37440E+00      -0.47152E+00      -0.94852E-01      -0.66438E+00
      0      1      -0.71486E+01      -0.36437E-05      -0.13908E+00       0.27808E+00      -0.36493E+00       0.11638E+01
      0      1       0.26168E-01       0.76449E-06       0.50380E-01       0.63347E+01       0.66669E+00      -0.69711E+01
      0      1      -0.90808E+01      -0.23701E-05      -0.79373E-01       0.75757E+00      -0.13808E+00      -0.52366E+01
      0      1       0.55873E+00      -0.77376E-06      -0.32633E+00      -0.48365E+01      -0.49066E+00       0.64651E+00
      0      1      -0.48506E+01       0.41607E-05      -0.94061E+00       0.71690E+01       0.12518E+00      -0.81363E+01
      0      1       0.29978E+01      -0.27833E-05      -0.13575E+00       0.24914E+01       0.64444E+00      -0.27628E+01
      0      1      -0.16059E+01       0.16185E-05      -0.67190E-01       0.15694E+01      -0.25269E+00      -0.19827E+01
      0      1       0.44877E+01      -0.15009E-06      -0.66474E-01      -0.58257E+01      -0.32290E+00       0.98396E+00
      0      1      -0.37964E+00      -0.20826E-05       0.37943E+00       0.58994E-01       0.43720E+00      -0.16662E+01
      0      1      -0.34049E+01      -0.24371E-05       0.18802E+00       0.24685E+01       0.27147E+00      -0.53028E+01
      0      1       0.11143E+02      -0.33488E-05       0.63345E+00      -0.22498E+01       0.96060E-01       0.18613E+01
      0      1       0.43393E+01       0.32561E-05      -0.42301E+00      -0.22410E+01       0.45669E-01       0.34636E+00
      0      1       0.11138E+02      -0.35934E-05      -0.48836E+00       0.16310E+01      -0.11396E+00      -0.12911E+01
      0      1       0.20803E+01       0.14752E-05       0.29697E+00       0.17179E+01       0.39543E-02       0.13781E+01
      0      1       0.30147E+01      -0.49122E-05      -0.30359E+00       0.37776E+01      -0.50189E+00       0.97503E+00
      0      1       0.24511E+01       0.69518E-06       0.26552E+00      -0.66169E+00       0.33192E+00       0.29012E+00
