# X Position [mm]	X Current [A]	Y Position [mm]	Y Current [A]	D Position [mm]	D Current [A]
-1.994041e+01	-1.101856e-08	1.944544e+01	-2.249879e-08	0.000000e+00	0.000000e+00
-1.923330e+01	-1.059707e-08	1.873833e+01	-2.235568e-08	0.000000e+00	0.000000e+00
-1.852620e+01	-1.058740e-08	1.803122e+01	-2.149713e-08	0.000000e+00	0.000000e+00
-1.781909e+01	-1.126219e-08	1.732412e+01	-1.794690e-08	0.000000e+00	0.000000e+00
-1.711198e+01	-1.209939e-08	1.661701e+01	-1.018717e-08	0.000000e+00	0.000000e+00
-1.640488e+01	-1.248801e-08	1.590990e+01	-6.020419e-10	0.000000e+00	0.000000e+00
-1.569777e+01	-1.213031e-08	1.520280e+01	4.773511e-09	0.000000e+00	0.000000e+00
-1.499066e+01	-1.424748e-08	1.449569e+01	3.943979e-09	0.000000e+00	0.000000e+00
-1.428356e+01	-1.445628e-08	1.378858e+01	6.308827e-09	0.000000e+00	0.000000e+00
-1.357645e+01	-1.469025e-08	1.308148e+01	8.998542e-09	0.000000e+00	0.000000e+00
-1.286934e+01	-1.551198e-08	1.237437e+01	1.542020e-08	0.000000e+00	0.000000e+00
-1.216224e+01	-1.571307e-08	1.166726e+01	2.957454e-08	0.000000e+00	0.000000e+00
-1.145513e+01	-1.795395e-08	1.096016e+01	4.592939e-08	0.000000e+00	0.000000e+00
-1.074802e+01	-1.851467e-08	1.025305e+01	7.014659e-08	0.000000e+00	0.000000e+00
-1.004092e+01	-1.927064e-08	9.545942e+00	9.700283e-08	0.000000e+00	0.000000e+00
-9.333810e+00	-1.885884e-08	8.838835e+00	1.602026e-07	0.000000e+00	0.000000e+00
-8.626703e+00	-1.539403e-08	8.131728e+00	2.627479e-07	0.000000e+00	0.000000e+00
-7.919596e+00	1.536181e-08	7.424621e+00	3.751183e-07	0.000000e+00	0.000000e+00
-7.212489e+00	5.651786e-08	6.717514e+00	4.899966e-07	0.000000e+00	0.000000e+00
-6.505382e+00	9.717503e-08	6.010408e+00	6.059895e-07	0.000000e+00	0.000000e+00
-5.798276e+00	1.895625e-07	5.303301e+00	7.401595e-07	0.000000e+00	0.000000e+00
-5.091169e+00	3.950119e-07	4.596194e+00	8.911773e-07	0.000000e+00	0.000000e+00
-4.384062e+00	1.243285e-06	3.889087e+00	1.100961e-06	0.000000e+00	0.000000e+00
-3.676955e+00	2.100560e-06	3.181981e+00	1.518519e-06	0.000000e+00	0.000000e+00
-2.969848e+00	2.313932e-06	2.474874e+00	1.990063e-06	0.000000e+00	0.000000e+00
-2.262742e+00	1.806622e-06	1.767767e+00	2.481886e-06	0.000000e+00	0.000000e+00
-1.555635e+00	1.537025e-06	1.060660e+00	2.345601e-06	0.000000e+00	0.000000e+00
-8.485281e-01	1.429479e-06	3.535534e-01	1.836819e-06	0.000000e+00	0.000000e+00
-1.414214e-01	1.313928e-06	-3.535534e-01	1.403327e-06	0.000000e+00	0.000000e+00
5.656854e-01	1.237931e-06	-1.060660e+00	1.175672e-06	0.000000e+00	0.000000e+00
1.272792e+00	1.148982e-06	-1.767767e+00	1.038125e-06	0.000000e+00	0.000000e+00
1.979899e+00	1.038064e-06	-2.474874e+00	8.874017e-07	0.000000e+00	0.000000e+00
2.687006e+00	9.375485e-07	-3.181981e+00	7.467318e-07	0.000000e+00	0.000000e+00
3.394113e+00	8.537995e-07	-3.889087e+00	6.331932e-07	0.000000e+00	0.000000e+00
4.101219e+00	7.732704e-07	-4.596194e+00	5.388062e-07	0.000000e+00	0.000000e+00
4.808326e+00	6.998733e-07	-5.303301e+00	4.836894e-07	0.000000e+00	0.000000e+00
5.515433e+00	6.233406e-07	-6.010408e+00	4.374580e-07	0.000000e+00	0.000000e+00
6.222540e+00	5.745933e-07	-6.717514e+00	3.846434e-07	0.000000e+00	0.000000e+00
6.929646e+00	5.385264e-07	-7.424621e+00	2.823013e-07	0.000000e+00	0.000000e+00
7.636753e+00	4.938302e-07	-8.131728e+00	1.603361e-07	0.000000e+00	0.000000e+00
8.343860e+00	4.035290e-07	-8.838835e+00	7.820795e-08	0.000000e+00	0.000000e+00
9.050967e+00	2.846182e-07	-9.545942e+00	3.066321e-08	0.000000e+00	0.000000e+00
9.758074e+00	1.647675e-07	-1.025305e+01	4.141207e-09	0.000000e+00	0.000000e+00
1.046518e+01	9.416643e-08	-1.096016e+01	-6.890288e-09	0.000000e+00	0.000000e+00
1.117229e+01	4.514901e-08	-1.166726e+01	-1.803196e-08	0.000000e+00	0.000000e+00
1.187939e+01	6.753968e-09	-1.237437e+01	-2.280045e-08	0.000000e+00	0.000000e+00
1.258650e+01	-7.561503e-09	-1.308148e+01	-2.619407e-08	0.000000e+00	0.000000e+00
1.329361e+01	-1.918750e-08	-1.378858e+01	-2.833081e-08	0.000000e+00	0.000000e+00
1.400071e+01	-2.782244e-08	-1.449569e+01	-2.899018e-08	0.000000e+00	0.000000e+00
1.470782e+01	-2.873503e-08	-1.520280e+01	-3.019489e-08	0.000000e+00	0.000000e+00
1.541493e+01	-2.790945e-08	-1.590990e+01	-3.033216e-08	0.000000e+00	0.000000e+00
1.612203e+01	-3.002467e-08	-1.661701e+01	-3.112874e-08	0.000000e+00	0.000000e+00
1.682914e+01	-2.969984e-08	-1.732412e+01	-3.051971e-08	0.000000e+00	0.000000e+00
1.753625e+01	-2.963798e-08	-1.803122e+01	-3.168180e-08	0.000000e+00	0.000000e+00
1.824335e+01	-2.963799e-08	-1.873833e+01	-3.213813e-08	0.000000e+00	0.000000e+00
