# X Position [mm]	X Current [A]	Y Position [mm]	Y Current [A]	D Position [mm]	D Current [A]
-2.432447e+01	-5.505761e-10	2.432447e+01	5.391034e-09	0.000000e+00	0.000000e+00
-2.361737e+01	-6.124146e-10	2.361737e+01	3.935287e-09	0.000000e+00	0.000000e+00
-2.291026e+01	1.199867e-10	2.291026e+01	5.406497e-09	0.000000e+00	0.000000e+00
-2.220315e+01	5.586536e-10	2.220315e+01	3.502236e-09	0.000000e+00	0.000000e+00
-2.149605e+01	1.246608e-09	2.149605e+01	4.698923e-09	0.000000e+00	0.000000e+00
-2.078894e+01	7.093854e-10	2.078894e+01	4.194342e-09	0.000000e+00	0.000000e+00
-2.008183e+01	4.038839e-12	2.008183e+01	7.065240e-09	0.000000e+00	0.000000e+00
-1.937473e+01	4.039194e-12	1.937473e+01	5.099106e-09	0.000000e+00	0.000000e+00
-1.866762e+01	-1.358342e-09	1.866762e+01	7.956475e-09	0.000000e+00	0.000000e+00
-1.796051e+01	-1.507142e-09	1.796051e+01	6.794578e-09	0.000000e+00	0.000000e+00
-1.725341e+01	-1.344815e-09	1.725341e+01	8.194269e-09	0.000000e+00	0.000000e+00
-1.654630e+01	-2.216351e-09	1.654630e+01	5.592087e-09	0.000000e+00	0.000000e+00
-1.583919e+01	1.756628e-11	1.583919e+01	6.201066e-09	0.000000e+00	0.000000e+00
-1.513209e+01	-8.292157e-11	1.513209e+01	6.728849e-09	0.000000e+00	0.000000e+00
-1.442498e+01	-2.979670e-09	1.442498e+01	7.517621e-09	0.000000e+00	0.000000e+00
-1.371787e+01	-3.793234e-09	1.371787e+01	6.962776e-09	0.000000e+00	0.000000e+00
-1.301076e+01	-2.531344e-09	1.301076e+01	8.004807e-09	0.000000e+00	0.000000e+00
-1.230366e+01	-4.636158e-10	1.230366e+01	1.635650e-08	0.000000e+00	0.000000e+00
-1.159655e+01	-5.586726e-11	1.159655e+01	3.315663e-08	0.000000e+00	0.000000e+00
-1.088944e+01	4.587823e-09	1.088944e+01	6.703902e-08	0.000000e+00	0.000000e+00
-1.018234e+01	1.070791e-08	1.018234e+01	1.205499e-07	0.000000e+00	0.000000e+00
-9.475231e+00	3.467038e-08	9.475231e+00	1.848542e-07	0.000000e+00	0.000000e+00
-8.768124e+00	9.246816e-08	8.768124e+00	2.940974e-07	0.000000e+00	0.000000e+00
-8.061017e+00	1.607727e-07	8.061017e+00	4.345002e-07	0.000000e+00	0.000000e+00
-7.353911e+00	2.347141e-07	7.353911e+00	5.847872e-07	0.000000e+00	0.000000e+00
-6.646804e+00	3.216153e-07	6.646804e+00	7.392262e-07	0.000000e+00	0.000000e+00
-5.939697e+00	4.648535e-07	5.939697e+00	8.742842e-07	0.000000e+00	0.000000e+00
-5.232590e+00	6.532048e-07	5.232590e+00	1.009046e-06	0.000000e+00	0.000000e+00
-4.525483e+00	9.308514e-07	4.525483e+00	1.118514e-06	0.000000e+00	0.000000e+00
-3.818377e+00	1.220987e-06	3.818377e+00	1.193694e-06	0.000000e+00	0.000000e+00
-3.111270e+00	1.548373e-06	3.111270e+00	1.256073e-06	0.000000e+00	0.000000e+00
-2.404163e+00	2.073222e-06	2.404163e+00	1.300524e-06	0.000000e+00	0.000000e+00
-1.697056e+00	2.661127e-06	1.697056e+00	1.398540e-06	0.000000e+00	0.000000e+00
-9.899495e-01	3.185829e-06	9.899495e-01	1.442330e-06	0.000000e+00	0.000000e+00
-2.828427e-01	3.309422e-06	2.828427e-01	1.460823e-06	0.000000e+00	0.000000e+00
4.242641e-01	3.007906e-06	-4.242641e-01	1.450400e-06	0.000000e+00	0.000000e+00
1.131371e+00	2.264556e-06	-1.131371e+00	1.437585e-06	0.000000e+00	0.000000e+00
1.838478e+00	1.493385e-06	-1.838478e+00	1.394274e-06	0.000000e+00	0.000000e+00
2.545584e+00	8.405148e-07	-2.545584e+00	1.292388e-06	0.000000e+00	0.000000e+00
3.252691e+00	4.638334e-07	-3.252691e+00	1.182087e-06	0.000000e+00	0.000000e+00
3.959798e+00	2.235852e-07	-3.959798e+00	1.083837e-06	0.000000e+00	0.000000e+00
4.666905e+00	1.180037e-07	-4.666905e+00	9.583039e-07	0.000000e+00	0.000000e+00
5.374012e+00	7.741239e-08	-5.374012e+00	8.291393e-07	0.000000e+00	0.000000e+00
6.081118e+00	6.322239e-08	-6.081118e+00	6.778528e-07	0.000000e+00	0.000000e+00
6.788225e+00	5.171268e-08	-6.788225e+00	4.971932e-07	0.000000e+00	0.000000e+00
7.495332e+00	4.351327e-08	-7.495332e+00	3.827398e-07	0.000000e+00	0.000000e+00
8.202439e+00	3.675163e-08	-8.202439e+00	2.684391e-07	0.000000e+00	0.000000e+00
8.909545e+00	3.070690e-08	-8.909545e+00	1.709077e-07	0.000000e+00	0.000000e+00
9.616652e+00	2.493852e-08	-9.616652e+00	9.290815e-08	0.000000e+00	0.000000e+00
1.032376e+01	2.283407e-08	-1.032376e+01	5.888456e-08	0.000000e+00	0.000000e+00
1.103087e+01	1.874498e-08	-1.103087e+01	2.785945e-08	0.000000e+00	0.000000e+00
1.173797e+01	1.437764e-08	-1.173797e+01	1.388772e-08	0.000000e+00	0.000000e+00
1.244508e+01	1.188284e-08	-1.244508e+01	7.825009e-09	0.000000e+00	0.000000e+00
1.315219e+01	8.087503e-09	-1.315219e+01	6.690184e-09	0.000000e+00	0.000000e+00
1.385929e+01	6.441046e-09	-1.385929e+01	4.944448e-09	0.000000e+00	0.000000e+00
1.456640e+01	4.106644e-09	-1.456640e+01	4.981174e-09	0.000000e+00	0.000000e+00
1.527351e+01	3.403233e-09	-1.527351e+01	5.292437e-09	0.000000e+00	0.000000e+00
1.598061e+01	1.381880e-09	-1.598061e+01	7.057511e-09	0.000000e+00	0.000000e+00
1.668772e+01	-2.355855e-10	-1.668772e+01	7.301098e-09	0.000000e+00	0.000000e+00
1.739483e+01	-1.424045e-09	-1.739483e+01	7.488625e-09	0.000000e+00	0.000000e+00
1.810193e+01	-1.665603e-09	-1.810193e+01	6.972441e-09	0.000000e+00	0.000000e+00
1.880904e+01	-3.408678e-09	-1.880904e+01	7.697413e-09	0.000000e+00	0.000000e+00
1.951615e+01	-3.563272e-09	-1.951615e+01	6.342194e-09	0.000000e+00	0.000000e+00
2.022325e+01	-3.041508e-09	-2.022325e+01	5.481897e-09	0.000000e+00	0.000000e+00
2.093036e+01	-2.226015e-09	-2.093036e+01	6.092808e-09	0.000000e+00	0.000000e+00
2.163747e+01	-1.992189e-09	-2.163747e+01	6.344129e-09	0.000000e+00	0.000000e+00
2.234457e+01	-2.975806e-09	-2.234457e+01	5.298236e-09	0.000000e+00	0.000000e+00
2.305168e+01	-2.923631e-09	-2.305168e+01	4.609997e-09	0.000000e+00	0.000000e+00
2.375879e+01	-2.560326e-09	-2.375879e+01	2.489200e-09	0.000000e+00	0.000000e+00
2.446589e+01	-2.237611e-09	-2.446589e+01	2.556865e-09	0.000000e+00	0.000000e+00
